id,title,url,freq
3,无重复字符的最长子串,https://leetcode.cn/problems/longest-substring-without-repeating-characters/,566
206,反转链表,https://leetcode.cn/problems/reverse-linked-list/,540
146,LRU缓存机制,https://leetcode.cn/problems/lru-cache/,455
215,数组中的第K个最大元素,https://leetcode.cn/problems/kth-largest-element-in-an-array/,388
25,K 个一组翻转链表,https://leetcode.cn/problems/reverse-nodes-in-k-group/,298
15,三数之和,https://leetcode.cn/problems/3sum/,276
53,最大子序和,https://leetcode.cn/problems/maximum-subarray/,243
补充题4,手撕快速排序,https://leetcode.cn/problems/sort-an-array/,242
21,合并两个有序链表,https://leetcode.cn/problems/merge-two-sorted-lists/,224
1,两数之和,https://leetcode.cn/problems/two-sum/,218
102,二叉树的层序遍历,https://leetcode.cn/problems/binary-tree-level-order-traversal/,205
5,最长回文子串,https://leetcode.cn/problems/longest-palindromic-substring/,199
33,搜索旋转排序数组,https://leetcode.cn/problems/search-in-rotated-sorted-array/,198
141,环形链表,https://leetcode.cn/problems/linked-list-cycle/,195
20,有效的括号,https://leetcode.cn/problems/valid-parentheses/,195
121,买卖股票的最佳时机,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock/,194
200,岛屿数量,https://leetcode.cn/problems/number-of-islands/,191
88,合并两个有序数组,https://leetcode.cn/problems/merge-sorted-array/,190
103,二叉树的锯齿形层次遍历,https://leetcode.cn/problems/binary-tree-zigzag-level-order-traversal/,188
236,二叉树的最近公共祖先,https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-tree/,187
46,全排列,https://leetcode.cn/problems/permutations/,185
160,相交链表,https://leetcode.cn/problems/intersection-of-two-linked-lists/,172
54,螺旋矩阵,https://leetcode.cn/problems/spiral-matrix/,172
23,合并K个排序链表,https://leetcode.cn/problems/merge-k-sorted-lists/,159
92,反转链表 II,https://leetcode.cn/problems/reverse-linked-list-ii/,158
415,字符串相加,https://leetcode.cn/problems/add-strings/,151
142,环形链表 II,https://leetcode.cn/problems/linked-list-cycle-ii/,146
300,最长上升子序列,https://leetcode.cn/problems/longest-increasing-subsequence/,144
42,接雨水,https://leetcode.cn/problems/trapping-rain-water/,140
143,重排链表,https://leetcode.cn/problems/reorder-list/,127
124,二叉树中的最大路径和,https://leetcode.cn/problems/binary-tree-maximum-path-sum/,124
94,二叉树的中序遍历,https://leetcode.cn/problems/binary-tree-inorder-traversal/,118
19,删除链表的倒数第N个节点,https://leetcode.cn/problems/remove-nth-node-from-end-of-list/,116
72,编辑距离,https://leetcode.cn/problems/edit-distance/,115
232,用栈实现队列,https://leetcode.cn/problems/implement-queue-using-stacks/,115
704,二分查找,https://leetcode.cn/problems/binary-search/,115
4,寻找两个正序数组的中位数,https://leetcode.cn/problems/median-of-two-sorted-arrays/,114
199,二叉树的右视图,https://leetcode.cn/problems/binary-tree-right-side-view/,111
70,爬楼梯,https://leetcode.cn/problems/climbing-stairs/,107
56,合并区间,https://leetcode.cn/problems/merge-intervals/,107
148,排序链表,https://leetcode.cn/problems/sort-list/,106
82,删除排序链表中的重复元素 II,https://leetcode.cn/problems/remove-duplicates-from-sorted-list-ii/,105
31,下一个排列,https://leetcode.cn/problems/next-permutation/,105
1143,最长公共子序列,https://leetcode.cn/problems/longest-common-subsequence/,104
2,两数相加,https://leetcode.cn/problems/add-two-numbers/,102
69,x 的平方根,https://leetcode.cn/problems/sqrtx/,101
22,括号生成,https://leetcode.cn/problems/generate-parentheses/,100
93,复原IP地址,https://leetcode.cn/problems/restore-ip-addresses/,98
8,字符串转换整数 (atoi),https://leetcode.cn/problems/string-to-integer-atoi/,98
41,缺失的第一个正数,https://leetcode.cn/problems/first-missing-positive/,93
239,滑动窗口最大值,https://leetcode.cn/problems/sliding-window-maximum/,93
剑指 Offer 22,链表中倒数第k个节点,https://leetcode.cn/problems/lian-biao-zhong-dao-shu-di-kge-jie-dian-lcof/,91
76,最小覆盖子串,https://leetcode.cn/problems/minimum-window-substring/,81
165,比较版本号,https://leetcode.cn/problems/compare-version-numbers/,80
105,从前序与中序遍历序列构造二叉树,https://leetcode.cn/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,80
151,翻转字符串里的单词,https://leetcode.cn/problems/reverse-words-in-a-string/,79
322,零钱兑换,https://leetcode.cn/problems/coin-change/,79
32,最长有效括号,https://leetcode.cn/problems/longest-valid-parentheses/,77
43,字符串相乘,https://leetcode.cn/problems/multiply-strings/,77
144,二叉树的前序遍历,https://leetcode.cn/problems/binary-tree-preorder-traversal/,77
155,最小栈,https://leetcode.cn/problems/min-stack/,76
78,子集,https://leetcode.cn/problems/subsets/,76
104,二叉树的最大深度,https://leetcode.cn/problems/maximum-depth-of-binary-tree/,75
110,平衡二叉树,https://leetcode.cn/problems/balanced-binary-tree/,75
129,求根到叶子节点数字之和,https://leetcode.cn/problems/sum-root-to-leaf-numbers/,74
101,对称二叉树,https://leetcode.cn/problems/symmetric-tree/,74
543,二叉树的直径,https://leetcode.cn/problems/diameter-of-binary-tree/,70
470,用 Rand7() 实现 Rand10(),https://leetcode.cn/problems/implement-rand10-using-rand7/,68
113,路径总和 II,https://leetcode.cn/problems/path-sum-ii/,68
98,验证二叉搜索树,https://leetcode.cn/problems/validate-binary-search-tree/,68
64,最小路径和,https://leetcode.cn/problems/minimum-path-sum/,68
48,旋转图像,https://leetcode.cn/problems/rotate-image/,65
112,路径总和,https://leetcode.cn/problems/path-sum/,65
39,组合总和,https://leetcode.cn/problems/combination-sum/,64
234,回文链表,https://leetcode.cn/problems/palindrome-linked-list/,63
169,多数元素,https://leetcode.cn/problems/majority-element/,61
394,字符串解码,https://leetcode.cn/problems/decode-string/,59
240,搜索二维矩阵 II,https://leetcode.cn/problems/search-a-2d-matrix-ii/,58
34,在排序数组中查找元素的第一个和最后一个位置,https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array/,58
221,最大正方形,https://leetcode.cn/problems/maximal-square/,58
718,最长重复子数组,https://leetcode.cn/problems/maximum-length-of-repeated-subarray/,58
226,翻转二叉树,https://leetcode.cn/problems/invert-binary-tree/,57
14,最长公共前缀,https://leetcode.cn/problems/longest-common-prefix/,56
162,寻找峰值,https://leetcode.cn/problems/find-peak-element/,54
62,不同路径,https://leetcode.cn/problems/unique-paths/,53
227,基本计算器 II,https://leetcode.cn/problems/basic-calculator-ii/,53
128,最长连续序列,https://leetcode.cn/problems/longest-consecutive-sequence/,53
83,删除排序链表中的重复元素,https://leetcode.cn/problems/remove-duplicates-from-sorted-list/,52
695,岛屿的最大面积,https://leetcode.cn/problems/max-area-of-island/,52
662,二叉树最大宽度,https://leetcode.cn/problems/maximum-width-of-binary-tree/,50
122,买卖股票的最佳时机 II,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-ii/,50
198,打家劫舍,https://leetcode.cn/problems/house-robber/,50
补充题6,手撕堆排序,https://leetcode.cn/problems/sort-an-array/,50
24,两两交换链表中的节点,https://leetcode.cn/problems/swap-nodes-in-pairs/,49
152,乘积最大子数组,https://leetcode.cn/problems/maximum-product-subarray/,49
153,寻找旋转排序数组中的最小值,https://leetcode.cn/problems/find-minimum-in-rotated-sorted-array/,48
179,最大数,https://leetcode.cn/problems/largest-number/,48
139,单词拆分,https://leetcode.cn/problems/word-break/,47
283,移动零,https://leetcode.cn/problems/move-zeroes/,47
138,复制带随机指针的链表,https://leetcode.cn/problems/copy-list-with-random-pointer/,47
468,验证IP地址,https://leetcode.cn/problems/validate-ip-address/,46
560,和为K的子数组,https://leetcode.cn/problems/subarray-sum-equals-k/,46
297,二叉树的序列化与反序列化,https://leetcode.cn/problems/serialize-and-deserialize-binary-tree/,46
209,长度最小的子数组,https://leetcode.cn/problems/minimum-size-subarray-sum/,45
136,只出现一次的数字,https://leetcode.cn/problems/single-number/,44
739,每日温度,https://leetcode.cn/problems/daily-temperatures/,43
224,基本计算器,https://leetcode.cn/problems/basic-calculator/,42
剑指 Offer 09,用两个栈实现队列,https://leetcode.cn/problems/yong-liang-ge-zhan-shi-xian-dui-lie-lcof/,42
补充题5,手撕归并排序,https://leetcode.cn/problems/sort-an-array/,41
207,课程表,https://leetcode.cn/problems/course-schedule/,41
498,对角线遍历,https://leetcode.cn/problems/diagonal-traverse/,41
460,LFU缓存,https://leetcode.cn/problems/lfu-cache/,40
402,移掉K位数字,https://leetcode.cn/problems/remove-k-digits/,40
剑指 Offer 36,二叉搜索树与双向链表,https://leetcode.cn/problems/er-cha-sou-suo-shu-yu-shuang-xiang-lian-biao-lcof/,40
958,二叉树的完全性检验,https://leetcode.cn/problems/check-completeness-of-a-binary-tree/,39
61,旋转链表,https://leetcode.cn/problems/rotate-list/,38
补充题23,检测循环依赖,https://leetcode.cn/problems/https://mp.weixin.qq.com/s/pCRscwKqQdYYN7M1Sia7xA/,38
补充题1,排序奇升偶降链表,https://leetcode.cn/problems/https://mp.weixin.qq.com/s/0WVa2wIAeG0nYnVndZiEXQ/,38
剑指 Offer 54,二叉搜索树的第k大节点,https://leetcode.cn/problems/er-cha-sou-suo-shu-de-di-kda-jie-dian-lcof/,37
11,盛最多水的容器,https://leetcode.cn/problems/container-with-most-water/,36
剑指 Offer 10- II,青蛙跳台阶问题,https://leetcode.cn/problems/qing-wa-tiao-tai-jie-wen-ti-lcof/,36
79,单词搜索,https://leetcode.cn/problems/word-search/,36
59,螺旋矩阵 II,https://leetcode.cn/problems/spiral-matrix-ii/,35
